Timestamp,Store,Dept,Model,Parameters,Train_Period,Test_Period,Features_Count,Features_List_Used,MAE,RMSE,MAPE
2025-05-21 20:15:14,0,0,RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 12, 'min_samples_split': 50, 'min_samples_leaf': 20, 'max_features': 0.7, 'random_state': 42, 'n_jobs': -1, 'model_path': '/Users/ramesh/Desktop/supply_chain_ai_platform/models_store/demand_forecasting/RandomForestRegressor_20250521201818.joblib', 'train_period_in_params': '2010-02-05 to 2011-10-28', 'test_period_in_params': '2011-11-04 to 2012-10-26', 'features_used_list_in_params': ['CPI', 'DayOfWeek', 'DayOfYear', 'Dept', 'Fuel_Price', 'IsHoliday', 'IsWeekend', 'MarkDown1', 'MarkDown2', 'MarkDown3', 'MarkDown4', 'MarkDown5', 'Month', 'Month_cos', 'Month_sin', 'Sales_Lag_1', 'Sales_Lag_12', 'Sales_Lag_2', 'Sales_Lag_26', 'Sales_Lag_3', 'Sales_Lag_4', 'Sales_Lag_52', 'Sales_Lag_8', 'Sales_Roll_Max_12', 'Sales_Roll_Max_26', 'Sales_Roll_Max_4', 'Sales_Roll_Max_8', 'Sales_Roll_Mean_12', 'Sales_Roll_Mean_26', 'Sales_Roll_Mean_4', 'Sales_Roll_Mean_8', 'Sales_Roll_Min_12', 'Sales_Roll_Min_26', 'Sales_Roll_Min_4', 'Sales_Roll_Min_8', 'Sales_Roll_Std_12', 'Sales_Roll_Std_26', 'Sales_Roll_Std_4', 'Sales_Roll_Std_8', 'Size', 'Store', 'Temperature', 'Type_Encoded', 'Unemployment', 'WeekOfYear', 'WeekOfYear_cos', 'WeekOfYear_sin', 'Year']}",2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,48,"['CPI', 'DayOfWeek', 'DayOfYear', 'Dept', 'Fuel_Price', 'IsHoliday', 'IsWeekend', 'MarkDown1', 'MarkDown2', 'MarkDown3', 'MarkDown4', 'MarkDown5', 'Month', 'Month_cos', 'Month_sin', 'Sales_Lag_1', 'Sales_Lag_12', 'Sales_Lag_2', 'Sales_Lag_26', 'Sales_Lag_3', 'Sales_Lag_4', 'Sales_Lag_52', 'Sales_Lag_8', 'Sales_Roll_Max_12', 'Sales_Roll_Max_26', 'Sales_Roll_Max_4', 'Sales_Roll_Max_8', 'Sales_Roll_Mean_12', 'Sales_Roll_Mean_26', 'Sales_Roll_Mean_4', 'Sales_Roll_Mean_8', 'Sales_Roll_Min_12', 'Sales_Roll_Min_26', 'Sales_Roll_Min_4', 'Sales_Roll_Min_8', 'Sales_Roll_Std_12', 'Sales_Roll_Std_26', 'Sales_Roll_Std_4', 'Sales_Roll_Std_8', 'Size', 'Store', 'Temperature', 'Type_Encoded', 'Unemployment', 'WeekOfYear', 'WeekOfYear_cos', 'WeekOfYear_sin', 'Year']",1662.1335542979816,5178.893673282675,997.671649070743
2025-05-21 20:15:14,0,0,XGBoostRegressor,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1, 'model_path': '/Users/ramesh/Desktop/supply_chain_ai_platform/models_store/demand_forecasting/XGBoostRegressor_20250521201822.json', 'train_period_in_params': '2010-02-05 to 2011-10-28', 'test_period_in_params': '2011-11-04 to 2012-10-26', 'features_used_list_in_params': ['CPI', 'DayOfWeek', 'DayOfYear', 'Dept', 'Fuel_Price', 'IsHoliday', 'IsWeekend', 'MarkDown1', 'MarkDown2', 'MarkDown3', 'MarkDown4', 'MarkDown5', 'Month', 'Month_cos', 'Month_sin', 'Sales_Lag_1', 'Sales_Lag_12', 'Sales_Lag_2', 'Sales_Lag_26', 'Sales_Lag_3', 'Sales_Lag_4', 'Sales_Lag_52', 'Sales_Lag_8', 'Sales_Roll_Max_12', 'Sales_Roll_Max_26', 'Sales_Roll_Max_4', 'Sales_Roll_Max_8', 'Sales_Roll_Mean_12', 'Sales_Roll_Mean_26', 'Sales_Roll_Mean_4', 'Sales_Roll_Mean_8', 'Sales_Roll_Min_12', 'Sales_Roll_Min_26', 'Sales_Roll_Min_4', 'Sales_Roll_Min_8', 'Sales_Roll_Std_12', 'Sales_Roll_Std_26', 'Sales_Roll_Std_4', 'Sales_Roll_Std_8', 'Size', 'Store', 'Temperature', 'Type_Encoded', 'Unemployment', 'WeekOfYear', 'WeekOfYear_cos', 'WeekOfYear_sin', 'Year']}",2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,48,"['CPI', 'DayOfWeek', 'DayOfYear', 'Dept', 'Fuel_Price', 'IsHoliday', 'IsWeekend', 'MarkDown1', 'MarkDown2', 'MarkDown3', 'MarkDown4', 'MarkDown5', 'Month', 'Month_cos', 'Month_sin', 'Sales_Lag_1', 'Sales_Lag_12', 'Sales_Lag_2', 'Sales_Lag_26', 'Sales_Lag_3', 'Sales_Lag_4', 'Sales_Lag_52', 'Sales_Lag_8', 'Sales_Roll_Max_12', 'Sales_Roll_Max_26', 'Sales_Roll_Max_4', 'Sales_Roll_Max_8', 'Sales_Roll_Mean_12', 'Sales_Roll_Mean_26', 'Sales_Roll_Mean_4', 'Sales_Roll_Mean_8', 'Sales_Roll_Min_12', 'Sales_Roll_Min_26', 'Sales_Roll_Min_4', 'Sales_Roll_Min_8', 'Sales_Roll_Std_12', 'Sales_Roll_Std_26', 'Sales_Roll_Std_4', 'Sales_Roll_Std_8', 'Size', 'Store', 'Temperature', 'Type_Encoded', 'Unemployment', 'WeekOfYear', 'WeekOfYear_cos', 'WeekOfYear_sin', 'Year']",1858.173718703877,5428.461487142602,1485.9032517558094
2025-05-21 20:15:14,0,0,LightGBMRegressor,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05, 'num_leaves': 31, 'subsample': 0.7, 'colsample_bytree': 0.7, 'objective': 'regression_l1', 'metric': 'mae', 'random_state': 42, 'n_jobs': -1, 'verbose': -1, 'model_path': '/Users/ramesh/Desktop/supply_chain_ai_platform/models_store/demand_forecasting/LightGBMRegressor_20250521201827.txt', 'train_period_in_params': '2010-02-05 to 2011-10-28', 'test_period_in_params': '2011-11-04 to 2012-10-26', 'features_used_list_in_params': ['CPI', 'DayOfWeek', 'DayOfYear', 'Dept', 'Fuel_Price', 'IsHoliday', 'IsWeekend', 'MarkDown1', 'MarkDown2', 'MarkDown3', 'MarkDown4', 'MarkDown5', 'Month', 'Month_cos', 'Month_sin', 'Sales_Lag_1', 'Sales_Lag_12', 'Sales_Lag_2', 'Sales_Lag_26', 'Sales_Lag_3', 'Sales_Lag_4', 'Sales_Lag_52', 'Sales_Lag_8', 'Sales_Roll_Max_12', 'Sales_Roll_Max_26', 'Sales_Roll_Max_4', 'Sales_Roll_Max_8', 'Sales_Roll_Mean_12', 'Sales_Roll_Mean_26', 'Sales_Roll_Mean_4', 'Sales_Roll_Mean_8', 'Sales_Roll_Min_12', 'Sales_Roll_Min_26', 'Sales_Roll_Min_4', 'Sales_Roll_Min_8', 'Sales_Roll_Std_12', 'Sales_Roll_Std_26', 'Sales_Roll_Std_4', 'Sales_Roll_Std_8', 'Size', 'Store', 'Temperature', 'Type_Encoded', 'Unemployment', 'WeekOfYear', 'WeekOfYear_cos', 'WeekOfYear_sin', 'Year']}",2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,48,"['CPI', 'DayOfWeek', 'DayOfYear', 'Dept', 'Fuel_Price', 'IsHoliday', 'IsWeekend', 'MarkDown1', 'MarkDown2', 'MarkDown3', 'MarkDown4', 'MarkDown5', 'Month', 'Month_cos', 'Month_sin', 'Sales_Lag_1', 'Sales_Lag_12', 'Sales_Lag_2', 'Sales_Lag_26', 'Sales_Lag_3', 'Sales_Lag_4', 'Sales_Lag_52', 'Sales_Lag_8', 'Sales_Roll_Max_12', 'Sales_Roll_Max_26', 'Sales_Roll_Max_4', 'Sales_Roll_Max_8', 'Sales_Roll_Mean_12', 'Sales_Roll_Mean_26', 'Sales_Roll_Mean_4', 'Sales_Roll_Mean_8', 'Sales_Roll_Min_12', 'Sales_Roll_Min_26', 'Sales_Roll_Min_4', 'Sales_Roll_Min_8', 'Sales_Roll_Std_12', 'Sales_Roll_Std_26', 'Sales_Roll_Std_4', 'Sales_Roll_Std_8', 'Size', 'Store', 'Temperature', 'Type_Encoded', 'Unemployment', 'WeekOfYear', 'WeekOfYear_cos', 'WeekOfYear_sin', 'Year']",1759.122211696435,5730.2024344778165,941.5099391948152
